"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","04-Dec-2017","        805.25","        805.15","        813.85","        798.00","        804.50","        804.55","        804.01","    1291369","          1038275865.50","      41653","     550641","         42.64"
"TITAN","EQ","05-Dec-2017","        804.55","        808.75","        810.00","        786.60","        792.70","        792.60","        794.09","    1136767","           902699296.60","      34288","     447545","         39.37"
"TITAN","EQ","06-Dec-2017","        792.60","        790.95","        795.35","        770.00","        773.05","        773.60","        781.89","    1742133","          1362163774.45","      71646","     820052","         47.07"
"TITAN","EQ","07-Dec-2017","        773.60","        775.00","        807.00","        773.60","        806.00","        800.60","        788.41","    2085106","          1643917039.05","      70500","    1093979","         52.47"
"TITAN","EQ","08-Dec-2017","        800.60","        795.25","        821.35","        795.25","        807.60","        810.95","        813.88","    2844071","          2314742178.45","      73848","     851329","         29.93"
"TITAN","EQ","11-Dec-2017","        810.95","        813.00","        824.95","        811.00","        818.10","        820.60","        820.14","    1788914","          1467156196.90","      40336","     637914","         35.66"
"TITAN","EQ","12-Dec-2017","        820.60","        820.25","        831.60","        814.20","        821.05","        822.40","        824.31","    2325014","          1916529414.90","      50331","     823783","         35.43"
"TITAN","EQ","13-Dec-2017","        822.40","        821.50","        844.25","        811.85","        821.60","        818.95","        833.23","    3127944","          2606300624.15","      49783","     500880","         16.01"
"TITAN","EQ","14-Dec-2017","        818.95","        820.00","        828.00","        805.10","        817.05","        816.25","        813.64","    3020320","          2457439557.15","      42933","     335489","         11.11"
"TITAN","EQ","15-Dec-2017","        816.25","        826.25","        836.00","        818.50","        831.55","        832.85","        829.45","    2015120","          1671438238.00","      66107","     825459","         40.96"
"TITAN","EQ","18-Dec-2017","        832.85","        830.00","        846.35","        802.00","        837.50","        840.10","        837.91","    1698653","          1423310754.30","      48268","     634063","         37.33"
"TITAN","EQ","19-Dec-2017","        840.10","        845.00","        871.00","        843.10","        871.00","        868.35","        859.89","    3308280","          2844749868.25","      63205","    1059009","         32.01"
"TITAN","EQ","20-Dec-2017","        868.35","        869.35","        872.00","        861.30","        863.95","        862.95","        865.09","    1105619","           956465210.35","      31233","     269304","         24.36"
"TITAN","EQ","21-Dec-2017","        862.95","        862.90","        866.45","        854.95","        857.05","        858.45","        859.30","     897152","           770918558.50","      27055","     360278","         40.16"
"TITAN","EQ","22-Dec-2017","        858.45","        859.00","        868.60","        853.90","        854.00","        856.85","        859.50","    1381784","          1187639890.10","      34522","     618154","         44.74"
"TITAN","EQ","26-Dec-2017","        856.85","        857.00","        863.90","        852.55","        857.00","        854.80","        856.25","    1467917","          1256903994.40","      28764","     774908","         52.79"
"TITAN","EQ","27-Dec-2017","        854.80","        856.40","        860.20","        842.00","        843.30","        849.05","        854.42","     735296","           628247945.50","      22393","     269621","         36.67"
"TITAN","EQ","28-Dec-2017","        849.05","        849.85","        856.35","        840.60","        854.00","        851.70","        850.00","     980277","           833239086.25","      19716","     284949","         29.07"
"TITAN","EQ","29-Dec-2017","        851.70","        854.50","        863.75","        851.40","        858.35","        858.15","        857.49","    1245513","          1068012114.25","      38512","     628139","         50.43"
"TITAN","EQ","01-Jan-2018","        858.15","        857.70","        862.05","        851.05","        853.80","        852.45","        856.81","     472607","           404934218.15","      12561","     197178","         41.72"
