SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 01-Jan-2018, 58.30, 58.95, 60.70, 57.90, 58.70, 58.75, 59.53, 156506, 93.17, 1527, 77974, 49.82
3IINFOTECH, EQ, 01-Jan-2018, 8.00, 8.40, 8.80, 8.30, 8.80, 8.80, 8.68, 14085506, 1223.08, 7133, 6983618, 49.58
3MINDIA, EQ, 01-Jan-2018, 19126.45, 18901.00, 19990.00, 18901.00, 19425.00, 19264.55, 19368.09, 2361, 457.28, 728, 1170, 49.56
5PAISA, EQ, 01-Jan-2018, 376.05, 383.00, 383.00, 357.25, 357.25, 357.45, 364.71, 32513, 118.58, 975, 23949, 73.66
63MOONS, EQ, 01-Jan-2018, 118.60, 119.55, 124.40, 118.00, 119.20, 119.40, 121.46, 685352, 832.44, 6628, 202252, 29.51
8KMILES, EQ, 01-Jan-2018, 908.05, 908.00, 921.85, 900.00, 904.00, 901.95, 909.56, 74853, 680.84, 3336, 25128, 33.57
A2ZINFRA, EQ, 01-Jan-2018, 40.75, 41.00, 44.30, 40.70, 42.50, 42.35, 42.81, 5268119, 2255.26, 14359, 2078105, 39.45
AARTIDRUGS, EQ, 01-Jan-2018, 641.30, 646.00, 658.00, 631.90, 637.25, 634.15, 645.60, 18513, 119.52, 1002, 11122, 60.08
AARTIIND, EQ, 01-Jan-2018, 1133.90, 1147.75, 1149.90, 1125.10, 1142.40, 1141.00, 1140.29, 106698, 1216.67, 5307, 42066, 39.43
AARVEEDEN, EQ, 01-Jan-2018, 49.50, 50.00, 51.00, 48.85, 50.00, 50.20, 50.49, 57825, 29.20, 283, 39934, 69.06
AARVI, SM, 01-Jan-2018, 104.05, 102.60, 110.00, 102.60, 107.00, 107.00, 105.25, 22000, 23.16, 8, 18000, 81.82
ABAN, EQ, 01-Jan-2018, 202.95, 203.95, 205.40, 200.70, 201.60, 201.30, 203.06, 624616, 1268.32, 7548, 190090, 30.43
ABB, EQ, 01-Jan-2018, 1402.90, 1412.00, 1413.00, 1390.05, 1410.25, 1399.65, 1403.39, 44720, 627.60, 2369, 23418, 52.37
ABBOTINDIA, EQ, 01-Jan-2018, 5524.95, 5525.00, 5561.05, 5485.25, 5495.00, 5497.75, 5522.91, 1527, 84.33, 264, 1164, 76.23
ABCAPITAL, EQ, 01-Jan-2018, 184.15, 184.50, 189.30, 184.00, 186.50, 186.40, 187.30, 2837824, 5315.28, 21573, 1306242, 46.03
ABFRL, EQ, 01-Jan-2018, 172.45, 170.10, 174.10, 169.20, 170.25, 170.00, 171.21, 289762, 496.09, 2256, 190592, 65.78
ABGSHIP, BZ, 01-Jan-2018, 13.30, 13.85, 13.85, 13.00, 13.70, 13.70, 13.71, 27903, 3.83, 99, -, -
ABMINTLTD, BE, 01-Jan-2018, 41.80, 41.80, 42.05, 41.80, 42.05, 42.05, 42.00, 590, 0.25, 8, -, -
ACC, EQ, 01-Jan-2018, 1758.40, 1763.95, 1763.95, 1725.00, 1731.40, 1731.35, 1744.88, 123565, 2156.06, 6063, 42389, 34.31
ACCELYA, EQ, 01-Jan-2018, 1434.35, 1455.00, 1455.00, 1425.00, 1430.00, 1433.65, 1433.75, 984, 14.11, 156, 814, 82.72
ACCORD, SM, 01-Jan-2018, 58.10, 57.00, 57.00, 57.00, 57.00, 57.00, 57.00, 2000, 1.14, 1, 2000, 100.00
ACE, EQ, 01-Jan-2018, 144.30, 144.00, 145.50, 141.10, 141.10, 141.60, 143.54, 350474, 503.06, 4026, 229093, 65.37
ADANIENT, EQ, 01-Jan-2018, 166.35, 165.80, 169.85, 165.00, 165.60, 166.05, 167.80, 4220395, 7081.96, 19169, 534498, 12.66
ADANIPORTS, EQ, 01-Jan-2018, 405.65, 406.70, 407.70, 398.05, 400.20, 399.65, 402.01, 2701537, 10860.41, 43408, 1635026, 60.52
ADANIPOWER, EQ, 01-Jan-2018, 41.70, 41.60, 45.20, 40.90, 42.50, 42.60, 43.19, 34368848, 14842.25, 50188, 5004308, 14.56
